country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,gdp_per_capita,gdp_per_capita_quintiles
Afghanistan,2021,AFG,40099460.0,67594969088.0,0.012,0.0,11.874,0.192,1.647,12.241,0.229,1.907,0.305,0.165,0.451,0.296,0.16,0.438,4.204,0.105,,,,2.517,217.993,559.514,57.676,5.956,20.267,861.113,131.577,,676.696,0.502,0.0,0.0,0.239,0.006,0.758,0.762,0.366,0.009,16.37,0.433,5.01,0.133,7.42,0.185,,,27.135,0.001,0.032,0.03,0.028,0.006,0.013,0.023,0.007,0.032,0.008,0.116,0.022,,0.0,0.003,0.009,0.063,,0.083,0.001,0.001,0.001,0.0,28.79,28.64,,,1685.6827769750516,0.0
Albania,2021,ALB,2854710.0,34009112576.0,1.048,0.367,4.619,-0.109,-2.315,4.582,-0.219,-4.568,1.605,0.156,0.114,1.618,0.147,0.115,0.174,0.061,5.776,2.015,0.177,24.375,293.839,555.742,66.782,0.136,16.707,454.299,185.838,,14100.432,1.236,0.0,0.0,0.15,0.053,3.135,3.052,-0.037,-0.013,2.85,0.992,1.1,0.383,3.246,1.137,,,40.253,0.063,0.012,0.011,0.001,0.054,0.017,0.022,0.008,0.001,0.007,0.061,0.031,,0.0,0.002,-0.001,0.027,,0.024,0.0,0.0,0.0,0.0,8.77,9.01,1.047,22.143,11913.333605164798,2.0
Algeria,2021,DZA,44177964.0,590317551616.0,11.028,0.25,176.269,3.765,2.182,178.321,3.728,2.135,4.036,0.298,0.254,3.99,0.295,0.251,1.096,0.025,,,,243.217,4862.567,5799.415,117.541,693.757,2154.349,1235.757,1653.702,,15914.461,1.134,15.333,0.347,92.792,2.1,6.604,6.609,2.052,0.046,92.36,2.163,12.63,0.296,56.021,1.268,,,703.068,0.659,0.475,0.434,0.007,0.54,0.28,0.234,0.015,3.759,0.848,0.166,0.273,,3.681,1.171,0.052,0.473,,0.406,0.004,0.002,0.007,0.0,282.23,282.01,,,13362.262498470956,2.0
Andorra,2021,AND,79057.0,,0.0,0.0,0.453,0.004,0.892,0.453,0.004,0.892,5.729,,,5.729,,,0.0,0.0,,,,0.0,15.484,16.291,0.0,0.0,0.0,0.806,15.484,,,,0.0,0.0,0.0,0.0,8.25,8.25,0.0,0.0,0.05,0.655,0.0,0.0,0.453,5.729,,,,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.003,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,0.63,0.63,,,,
Angola,2021,AGO,34503776.0,175929573376.0,1.124,0.033,21.363,1.087,5.361,90.283,-0.122,-0.135,2.617,0.557,0.937,0.619,0.129,0.222,0.0,0.0,,,,26.091,657.116,6569.969,1.601,236.486,46.112,10628.787,346.826,,2791.332,0.598,3.386,0.098,2.951,0.086,2.463,3.965,68.92,1.997,41.32,1.277,25.69,0.794,13.902,0.403,,,96.311,0.067,0.058,0.22,0.0,0.058,0.038,0.265,0.0,1.281,0.018,1.432,0.057,,0.813,0.037,1.75,0.117,,0.419,0.003,0.004,0.007,0.0,128.29,79.68,,,5098.849858519833,1.0
Antigua and Barbuda,2021,ATG,93229.0,,0.0,0.0,0.469,0.043,10.164,0.469,0.043,10.164,5.027,,0.171,5.027,,0.171,0.0,0.0,,,,0.0,22.002,20.61,0.0,0.0,0.0,-8.097,22.002,,29464.332,,0.0,0.0,0.0,0.0,13.243,13.243,0.0,0.0,0.2,2.171,0.01,0.109,0.469,5.027,,,2.747,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,-0.001,0.004,,0.0,0.0,0.0,0.004,,0.001,0.0,0.0,0.0,0.0,1.22,1.22,,,,
Argentina,2021,ARG,45276788.0,829373284352.0,4.671,0.103,186.448,17.186,10.153,218.069,11.726,5.683,4.816,0.281,0.226,4.118,0.218,0.193,4.816,0.106,159.198,3.535,0.212,201.576,8636.5,21379.012,541.647,182.536,2970.459,13327.324,4740.281,,21328.186,1.187,2.325,0.051,94.328,2.083,8.248,8.915,31.62,0.698,128.88,2.88,48.61,1.086,80.309,1.774,,,965.672,0.279,0.502,0.531,0.032,0.447,0.497,0.864,0.067,0.989,1.169,1.795,0.783,,0.558,1.191,0.803,0.678,,1.16,0.006,0.011,0.019,0.001,398.91,369.05,-10.064,-5.946,18317.847201351826,3.0
Armenia,2021,ARM,2790971.0,33296515072.0,0.341,0.122,6.806,0.375,5.837,7.282,0.302,4.328,2.609,0.197,0.148,2.439,0.175,0.138,0.012,0.004,7.258,2.587,0.213,15.224,383.291,631.674,43.914,2.157,163.669,252.779,158.328,,17684.547,1.289,0.0,0.0,5.461,1.957,3.531,3.545,0.476,0.171,2.32,0.823,1.27,0.45,0.992,0.355,,,49.357,0.02,0.018,0.018,0.0,0.034,0.022,0.026,0.005,0.012,0.064,0.034,0.026,,0.0,0.069,0.012,0.008,,0.022,0.0,0.0,0.0,0.0,10.0,9.96,0.827,12.864,11930.0827819422,2.0
Australia,2021,AUS,25921094.0,1238559621120.0,2.82,0.109,391.187,-8.735,-2.184,399.138,-15.77,-3.801,15.398,0.366,0.251,15.091,0.336,0.246,150.958,5.824,354.534,13.811,0.295,194.196,18968.83,32711.873,10343.382,300.027,2154.456,13743.041,5863.383,113.386,61439.91,1.312,17.273,0.666,77.242,2.98,23.109,23.997,7.951,0.307,135.8,5.355,71.46,2.818,139.156,5.368,0.144,3.738,1592.59,0.169,1.054,0.972,1.008,0.431,1.092,1.322,1.286,1.626,0.848,1.851,0.968,1.171,4.147,0.975,0.202,1.176,1.262,1.535,0.008,0.014,0.025,0.003,608.49,585.98,-45.388,-11.349,47781.91927856131,4.0
Austria,2021,AUT,8922086.0,382269456384.0,1.821,0.204,64.626,2.588,4.172,62.391,2.515,4.2,6.993,0.169,0.155,7.243,0.174,0.16,12.269,1.375,81.224,9.118,0.239,139.719,5571.7,5756.585,2743.821,4.763,740.529,213.208,1906.985,35.882,45241.051,1.068,0.109,0.012,17.839,1.999,8.662,7.86,-2.235,-0.251,6.92,0.779,3.85,0.434,31.463,3.526,0.126,1.124,403.645,0.109,0.174,0.152,0.082,0.31,0.321,0.233,0.341,0.026,0.291,0.029,0.315,0.371,0.026,0.225,-0.057,0.266,0.38,0.184,0.001,0.002,0.003,0.0,69.8,76.92,19.187,30.928,42845.300570292646,4.0
